Date,Quantity,Price,Quantity_perWeek,Price_Total_perOrder,MonthoftheYear,WeekoftheMonth,DayoftheYear,DayoftheMonth,DayoftheWeek,isWeekend
2023-01-31,1,7.99,-1,7.99,1,4,31,31,1,False
2022-11-01,1,7.99,-1,7.99,11,0,305,1,1,False
2022-11-03,1,7.99,-2,7.99,11,0,307,3,3,False
2022-11-04,1,7.99,-3,7.99,11,0,308,4,4,False
2022-11-05,1,7.99,-4,7.99,11,0,309,5,5,True
2022-11-11,1,7.99,-1,7.99,11,1,315,11,4,False
2022-11-12,1,7.99,-2,7.99,11,1,316,12,5,True
2022-11-18,1,7.99,-1,7.99,11,2,322,18,4,False
2022-11-25,1,7.99,-1,7.99,11,3,329,25,4,False
2022-11-26,1,7.99,-2,7.99,11,3,330,26,5,True
2022-12-31,1,7.99,-1,7.99,12,4,365,31,5,True
