Date,Quantity,Price,Quantity_perWeek,Price_Total_perOrder,MonthoftheYear,WeekoftheMonth,DayoftheYear,DayoftheMonth,DayoftheWeek,isWeekend
2023-01-02,1,7.19,-1,7.19,1,0,2,2,0,False
2023-01-03,1,7.19,-2,7.19,1,0,3,3,1,False
2023-01-04,1,7.19,-3,7.19,1,0,4,4,2,False
2023-01-05,1,7.19,-4,7.19,1,0,5,5,3,False
2023-01-06,1,7.19,-5,7.19,1,0,6,6,4,False
2023-01-07,1,7.19,-6,7.19,1,0,7,7,5,True
2023-01-09,1,7.19,-1,7.19,1,1,9,9,0,False
2023-01-10,1,7.19,-2,7.19,1,1,10,10,1,False
2023-01-11,2,7.19,-4,14.38,1,1,11,11,2,False
2023-01-12,1,7.19,-5,7.19,1,1,12,12,3,False
2023-01-13,2,7.19,-7,14.38,1,1,13,13,4,False
2023-01-14,2,7.19,-9,14.38,1,1,14,14,5,True
2023-01-16,2,7.19,-11,14.38,1,2,16,16,0,False
2023-01-17,2,7.19,-13,14.38,1,2,17,17,1,False
2023-01-18,2,7.19,-6,14.38,1,2,18,18,2,False
2023-01-19,1,7.19,-7,7.19,1,2,19,19,3,False
2023-01-20,2,7.19,-9,14.38,1,2,20,20,4,False
2023-01-21,2,7.19,-11,14.38,1,2,21,21,5,True
2023-01-23,2,7.19,-2,14.38,1,3,23,23,0,False
2023-01-24,2,7.19,-4,14.38,1,3,24,24,1,False
2023-01-25,2,7.19,-6,14.38,1,3,25,25,2,False
2023-01-26,1,7.19,-7,7.19,1,3,26,26,3,False
2023-01-27,2,7.19,-9,14.38,1,3,27,27,4,False
2023-01-28,1,7.19,-10,7.19,1,3,28,28,5,True
2023-01-30,2,7.19,-2,14.38,1,4,30,30,0,False
2023-01-31,2,7.19,-4,14.38,1,4,31,31,1,False
2023-02-01,1,7.19,-5,7.19,2,0,32,1,2,False
2023-02-02,2,7.19,-7,14.38,2,0,33,2,3,False
2023-02-03,2,7.19,-9,14.38,2,0,34,3,4,False
2023-02-04,1,7.19,-10,7.19,2,0,35,4,5,True
2022-05-09,2,5.99,-2,11.98,5,1,129,9,0,False
2022-05-10,2,5.99,-4,11.98,5,1,130,10,1,False
2022-05-11,3,5.99,-7,17.97,5,1,131,11,2,False
2022-05-12,2,5.99,-9,11.98,5,1,132,12,3,False
2022-05-13,2,5.99,-11,11.98,5,1,133,13,4,False
2022-05-14,3,5.99,-14,17.97,5,1,134,14,5,True
2022-05-16,2,5.99,-16,11.98,5,2,136,16,0,False
2022-05-17,2,5.99,-18,11.98,5,2,137,17,1,False
2022-05-18,2,5.99,-20,11.98,5,2,138,18,2,False
2022-05-19,2,5.99,-22,11.98,5,2,139,19,3,False
2022-05-20,3,5.99,-25,17.97,5,2,140,20,4,False
2022-05-21,3,5.99,-28,17.97,5,2,141,21,5,True
2022-05-23,2,5.99,-30,11.98,5,3,143,23,0,False
2022-05-24,2,5.99,-32,11.98,5,3,144,24,1,False
2022-05-25,3,5.99,-35,17.97,5,3,145,25,2,False
2022-05-27,3,5.99,-38,17.97,5,3,147,27,4,False
2022-05-28,3,5.99,-41,17.97,5,3,148,28,5,True
2022-05-30,2,5.99,-43,11.98,5,4,150,30,0,False
2022-05-31,2,5.99,-45,11.98,5,4,151,31,1,False
2022-06-01,2,5.99,-47,11.98,6,0,152,1,2,False
2022-06-02,2,5.99,-49,11.98,6,0,153,2,3,False
2022-06-03,3,5.99,-52,17.97,6,0,154,3,4,False
2022-06-04,2,5.99,-54,11.98,6,0,155,4,5,True
2022-06-07,2,5.99,-56,11.98,6,0,158,7,1,False
2022-06-08,2,5.99,-58,11.98,6,1,159,8,2,False
2022-06-09,2,5.99,-60,11.98,6,1,160,9,3,False
2022-06-10,2,5.99,-62,11.98,6,1,161,10,4,False
2022-06-11,3,5.99,-65,17.97,6,1,162,11,5,True
2022-06-13,2,5.99,-67,11.98,6,1,164,13,0,False
2022-06-14,2,5.99,-69,11.98,6,1,165,14,1,False
2022-06-15,2,5.99,-71,11.98,6,2,166,15,2,False
2022-06-16,2,5.99,-73,11.98,6,2,167,16,3,False
2022-06-17,2,5.99,-75,11.98,6,2,168,17,4,False
2022-06-18,2,5.99,-77,11.98,6,2,169,18,5,True
2022-06-20,2,5.99,-79,11.98,6,2,171,20,0,False
2022-06-21,2,5.99,-81,11.98,6,2,172,21,1,False
2022-06-22,2,5.99,-83,11.98,6,3,173,22,2,False
2022-06-23,2,5.99,-85,11.98,6,3,174,23,3,False
2022-06-24,2,5.99,-87,11.98,6,3,175,24,4,False
2022-06-25,2,5.99,-89,11.98,6,3,176,25,5,True
2022-06-27,2,5.99,-91,11.98,6,3,178,27,0,False
2022-06-28,4,5.99,-83,23.96,6,3,179,28,1,False
2022-06-29,2,5.99,-85,11.98,6,4,180,29,2,False
2022-06-30,2,5.99,-87,11.98,6,4,181,30,3,False
2022-07-01,3,5.99,-90,17.97,7,0,182,1,4,False
2022-07-02,2,5.99,-92,11.98,7,0,183,2,5,True
2022-07-04,2,5.99,-94,11.98,7,0,185,4,0,False
2022-07-05,2,5.99,-81,11.98,7,0,186,5,1,False
2022-07-06,1,5.99,-82,5.99,7,0,187,6,2,False
2022-07-07,2,5.99,-84,11.98,7,0,188,7,3,False
2022-07-08,2,5.99,-86,11.98,7,1,189,8,4,False
2022-07-09,4,5.99,-90,23.96,7,1,190,9,5,True
2022-07-11,2,5.99,-92,11.98,7,1,192,11,0,False
2022-07-12,2,5.99,-81,11.98,7,1,193,12,1,False
2022-07-13,2,5.99,-83,11.98,7,1,194,13,2,False
2022-07-14,2,5.99,-85,11.98,7,1,195,14,3,False
2022-07-15,2,5.99,-87,11.98,7,2,196,15,4,False
2022-07-16,2,5.99,-89,11.98,7,2,197,16,5,True
2022-07-18,1,5.99,-90,5.99,7,2,199,18,0,False
2022-07-19,2,5.99,-80,11.98,7,2,200,19,1,False
2022-07-20,2,5.99,-82,11.98,7,2,201,20,2,False
2022-07-21,2,5.99,-84,11.98,7,2,202,21,3,False
2022-07-22,2,5.99,-86,11.98,7,3,203,22,4,False
2022-07-23,1,5.99,-87,5.99,7,3,204,23,5,True
2022-07-25,2,5.99,-89,11.98,7,3,206,25,0,False
2022-07-26,2,5.99,-81,11.98,7,3,207,26,1,False
2022-07-27,1,5.99,-82,5.99,7,3,208,27,2,False
2022-07-28,1,5.99,-83,5.99,7,3,209,28,3,False
2022-07-29,1,5.99,-84,5.99,7,4,210,29,4,False
2022-07-30,3,5.99,-87,17.97,7,4,211,30,5,True
2022-08-01,2,5.99,-89,11.98,8,0,213,1,0,False
2022-08-02,2,5.99,-81,11.98,8,0,214,2,1,False
2022-08-03,2,5.99,-83,11.98,8,0,215,3,2,False
2022-08-05,2,5.99,-85,11.98,8,0,217,5,4,False
2022-08-08,2,5.99,-87,11.98,8,1,220,8,0,False
2022-08-09,2,5.99,-81,11.98,8,1,221,9,1,False
2022-08-10,2,5.99,-83,11.98,8,1,222,10,2,False
2022-08-11,2,5.99,-85,11.98,8,1,223,11,3,False
2022-08-12,2,5.99,-87,11.98,8,1,224,12,4,False
2022-08-13,2,5.99,-89,11.98,8,1,225,13,5,True
2022-08-15,2,5.99,-91,11.98,8,2,227,15,0,False
2022-08-16,2,5.99,-81,11.98,8,2,228,16,1,False
2022-08-17,2,5.99,-83,11.98,8,2,229,17,2,False
2022-08-18,2,5.99,-85,11.98,8,2,230,18,3,False
2022-08-19,2,5.99,-87,11.98,8,2,231,19,4,False
2022-08-20,2,5.99,-89,11.98,8,2,232,20,5,True
2022-08-22,2,5.99,-91,11.98,8,3,234,22,0,False
2022-08-23,2,5.99,-81,11.98,8,3,235,23,1,False
2022-08-24,1,5.99,-82,5.99,8,3,236,24,2,False
2022-08-25,1,5.99,-83,5.99,8,3,237,25,3,False
2022-08-26,1,5.99,-84,5.99,8,3,238,26,4,False
2022-08-27,2,5.99,-86,11.98,8,3,239,27,5,True
2022-08-29,1,5.99,-87,5.99,8,4,241,29,0,False
2022-08-30,2,5.99,-80,11.98,8,4,242,30,1,False
2022-08-31,2,5.99,-82,11.98,8,4,243,31,2,False
2022-09-01,2,5.99,-84,11.98,9,0,244,1,3,False
2022-09-02,2,5.99,-86,11.98,9,0,245,2,4,False
2022-09-03,2,5.99,-88,11.98,9,0,246,3,5,True
2022-09-05,2,5.99,-90,11.98,9,0,248,5,0,False
2022-09-06,2,5.99,-81,11.98,9,0,249,6,1,False
2022-09-07,1,5.99,-82,5.99,9,0,250,7,2,False
2022-09-08,1,5.99,-83,5.99,9,1,251,8,3,False
2022-09-09,2,5.99,-85,11.98,9,1,252,9,4,False
2022-09-10,3,5.99,-88,17.97,9,1,253,10,5,True
2022-09-12,1,5.99,-89,5.99,9,1,255,12,0,False
2022-09-13,2,5.99,-80,11.98,9,1,256,13,1,False
2022-09-14,2,5.99,-82,11.98,9,1,257,14,2,False
2022-09-15,1,5.99,-83,5.99,9,2,258,15,3,False
2022-09-16,1,5.99,-84,5.99,9,2,259,16,4,False
2022-09-17,2,5.99,-86,11.98,9,2,260,17,5,True
2022-09-19,2,5.99,-88,11.98,9,2,262,19,0,False
2022-09-20,2,5.99,-81,11.98,9,2,263,20,1,False
2022-09-21,2,5.99,-83,11.98,9,2,264,21,2,False
2022-09-22,2,5.99,-85,11.98,9,3,265,22,3,False
2022-09-23,2,5.99,-87,11.98,9,3,266,23,4,False
2022-09-24,2,5.99,-89,11.98,9,3,267,24,5,True
2022-09-26,2,5.99,-91,11.98,9,3,269,26,0,False
2022-09-27,2,5.99,-81,11.98,9,3,270,27,1,False
2022-09-28,2,5.99,-83,11.98,9,3,271,28,2,False
2022-09-29,2,5.99,-85,11.98,9,4,272,29,3,False
2022-09-30,3,5.99,-80,17.97,9,4,273,30,4,False
2022-10-01,1,5.99,-81,5.99,10,0,274,1,5,True
2022-10-04,1,5.99,-1,5.99,10,0,277,4,1,False
