Date,Quantity,Price,Quantity_perWeek,Price_Total_perOrder,MonthoftheYear,WeekoftheMonth,DayoftheYear,DayoftheMonth,DayoftheWeek,isWeekend
2023-01-09,1,2.99,-1,2.99,1,1,9,9,0,False
2023-01-19,1,2.99,-1,2.99,1,2,19,19,3,False
2023-01-23,1,2.99,-1,2.99,1,3,23,23,0,False
2023-02-01,1,2.99,-1,2.99,2,0,32,1,2,False
2023-02-02,1,2.99,-2,2.99,2,0,33,2,3,False
2022-05-14,1,2.99,-1,2.99,5,1,134,14,5,True
2022-05-17,1,2.99,-2,2.99,5,2,137,17,1,False
2022-05-19,1,2.99,-3,2.99,5,2,139,19,3,False
2022-06-09,1,2.99,-4,2.99,6,1,160,9,3,False
2022-06-16,1,2.99,-5,2.99,6,2,167,16,3,False
2022-06-17,1,2.99,-6,2.99,6,2,168,17,4,False
2022-06-24,1,2.99,-7,2.99,6,3,175,24,4,False
2022-06-27,1,2.99,-8,2.99,6,3,178,27,0,False
2022-07-01,1,2.99,-8,2.99,7,0,182,1,4,False
2022-07-08,1,2.99,-7,2.99,7,1,189,8,4,False
2022-07-18,1,2.99,-7,2.99,7,2,199,18,0,False
2022-07-22,1,2.99,-8,2.99,7,3,203,22,4,False
2022-07-25,1,2.99,-9,2.99,7,3,206,25,0,False
2022-08-02,1,2.99,-7,2.99,8,0,214,2,1,False
2022-08-05,1,2.99,-8,2.99,8,0,217,5,4,False
2022-08-10,1,2.99,-7,2.99,8,1,222,10,2,False
2022-08-11,1,2.99,-8,2.99,8,1,223,11,3,False
2022-08-26,1,2.99,-7,2.99,8,3,238,26,4,False
2022-09-12,1,2.99,-7,2.99,9,1,255,12,0,False
2022-09-15,1,2.99,-8,2.99,9,2,258,15,3,False
2022-09-19,1,2.99,-9,2.99,9,2,262,19,0,False
2022-09-21,1,2.99,-8,2.99,9,2,264,21,2,False
2022-09-23,1,2.99,-9,2.99,9,3,266,23,4,False
2022-09-27,1,2.99,-7,2.99,9,3,270,27,1,False
2022-09-28,1,2.99,-8,2.99,9,3,271,28,2,False
2022-09-30,1,2.99,-7,2.99,9,4,273,30,4,False
2022-10-04,1,2.99,-1,2.99,10,0,277,4,1,False
2022-10-06,1,2.99,-2,2.99,10,0,279,6,3,False
2022-10-11,1,2.99,-1,2.99,10,1,284,11,1,False
2022-10-13,1,2.99,-2,2.99,10,1,286,13,3,False
2022-10-15,1,2.99,-3,2.99,10,2,288,15,5,True
2022-10-17,1,2.99,-4,2.99,10,2,290,17,0,False
2022-10-20,1,2.99,-2,2.99,10,2,293,20,3,False
2022-10-28,1,2.99,-1,2.99,10,3,301,28,4,False
2022-11-03,1,2.99,-1,2.99,11,0,307,3,3,False
2022-11-05,1,2.99,-2,2.99,11,0,309,5,5,True
2022-11-07,1,2.99,-3,2.99,11,0,311,7,0,False
2022-11-09,1,2.99,-2,2.99,11,1,313,9,2,False
2022-11-15,1,2.99,-1,2.99,11,2,319,15,1,False
2022-11-24,1,2.99,-1,2.99,11,3,328,24,3,False
2022-12-03,1,2.99,-1,2.99,12,0,337,3,5,True
2022-12-06,1,2.99,-1,2.99,12,0,340,6,1,False
2022-12-14,1,2.99,-1,2.99,12,1,348,14,2,False
2022-12-20,1,2.99,-1,2.99,12,2,354,20,1,False
2022-12-28,1,2.99,-1,2.99,12,3,362,28,2,False
2022-12-31,1,2.99,-2,2.99,12,4,365,31,5,True
