Date,Quantity,Price,Quantity_perWeek,Price_Total_perOrder,MonthoftheYear,WeekoftheMonth,DayoftheYear,DayoftheMonth,DayoftheWeek,isWeekend
2022-09-10,1,17.49,-1,17.49,9,1,253,10,5,True
2022-09-12,1,17.49,2,17.49,9,1,255,12,0,False
2022-09-13,1,17.49,2,17.49,9,1,256,13,1,False
2022-09-14,1,17.49,-2,17.49,9,1,257,14,2,False
2022-09-15,1,17.49,-3,17.49,9,2,258,15,3,False
2022-09-16,1,17.49,-4,17.49,9,2,259,16,4,False
2022-09-17,1,17.49,-5,17.49,9,2,260,17,5,True
2022-09-24,1,17.49,-4,17.49,9,3,267,24,5,True
2022-09-29,1,17.49,-4,17.49,9,4,272,29,3,False
2022-10-10,1,17.49,-4,17.49,10,1,283,10,0,False
2022-10-11,1,17.49,-5,17.49,10,1,284,11,1,False
2022-10-15,1,17.49,-6,17.49,10,2,288,15,5,True
2022-11-17,1,17.49,-4,17.49,11,2,321,17,3,False
2022-12-28,1,17.49,-4,17.49,12,3,362,28,2,False
