Date,Quantity,Price,Quantity_perWeek,Price_Total_perOrder,MonthoftheYear,WeekoftheMonth,DayoftheYear,DayoftheMonth,DayoftheWeek,isWeekend
2023-01-13,1,7.79,-1,7.79,1,1,13,13,4,False
2023-01-20,1,7.79,-1,7.79,1,2,20,20,4,False
2023-01-28,1,7.79,-1,7.79,1,3,28,28,5,True
2022-11-03,1,7.79,-1,7.79,11,0,307,3,3,False
2022-11-04,1,7.79,-2,7.79,11,0,308,4,4,False
2022-11-05,2,7.79,-4,15.58,11,0,309,5,5,True
2022-11-11,1,7.79,-1,7.79,11,1,315,11,4,False
2022-11-18,1,7.79,-1,7.79,11,2,322,18,4,False
2022-11-26,1,7.79,-1,7.79,11,3,330,26,5,True
2022-12-03,1,7.79,-1,7.79,12,0,337,3,5,True
2022-12-23,1,7.79,-1,7.79,12,3,357,23,4,False
2022-12-30,1,7.79,-1,7.79,12,4,364,30,4,False
