Date,Quantity,Price,Quantity_perWeek,Price_Total_perOrder,MonthoftheYear,WeekoftheMonth,DayoftheYear,DayoftheMonth,DayoftheWeek,isWeekend
2023-01-02,1,6.49,-1,6.49,1,0,2,2,0,False
2023-01-03,1,6.49,-2,6.49,1,0,3,3,1,False
2023-01-05,1,6.49,-3,6.49,1,0,5,5,3,False
2023-01-06,1,6.49,-4,6.49,1,0,6,6,4,False
2023-01-07,1,6.49,-5,6.49,1,0,7,7,5,True
2023-01-09,1,6.49,-1,6.49,1,1,9,9,0,False
2023-01-11,1,6.49,-2,6.49,1,1,11,11,2,False
2023-01-17,1,6.49,-3,6.49,1,2,17,17,1,False
2023-01-19,1,6.49,-2,6.49,1,2,19,19,3,False
2023-01-24,1,6.49,-1,6.49,1,3,24,24,1,False
2023-01-26,1,6.49,-2,6.49,1,3,26,26,3,False
2023-01-28,1,6.49,-3,6.49,1,3,28,28,5,True
2023-01-30,1,6.49,-1,6.49,1,4,30,30,0,False
2023-02-01,1,6.49,-2,6.49,2,0,32,1,2,False
2023-02-02,1,6.49,-3,6.49,2,0,33,2,3,False
2023-02-03,1,6.49,-4,6.49,2,0,34,3,4,False
2023-02-04,1,6.49,-5,6.49,2,0,35,4,5,True
2022-11-04,2,6.49,-2,12.98,11,0,308,4,4,False
2022-11-05,4,6.49,-6,25.96,11,0,309,5,5,True
2022-11-08,1,6.49,-1,6.49,11,1,312,8,1,False
2022-11-11,1,6.49,-2,6.49,11,1,315,11,4,False
2022-11-12,2,6.49,-4,12.98,11,1,316,12,5,True
2022-11-14,1,6.49,-5,6.49,11,1,318,14,0,False
2022-11-15,1,6.49,-2,6.49,11,2,319,15,1,False
2022-11-17,1,6.49,-3,6.49,11,2,321,17,3,False
2022-11-19,1,6.49,-4,6.49,11,2,323,19,5,True
2022-11-21,1,6.49,-5,6.49,11,2,325,21,0,False
2022-11-22,1,6.49,-2,6.49,11,3,326,22,1,False
2022-11-23,1,6.49,-3,6.49,11,3,327,23,2,False
2022-11-24,1,6.49,-4,6.49,11,3,328,24,3,False
2022-11-26,1,6.49,-5,6.49,11,3,330,26,5,True
2022-11-28,1,6.49,-6,6.49,11,3,332,28,0,False
2022-11-30,1,6.49,-2,6.49,11,4,334,30,2,False
2022-12-01,1,6.49,-3,6.49,12,0,335,1,3,False
2022-12-03,1,6.49,-4,6.49,12,0,337,3,5,True
2022-12-06,1,6.49,-1,6.49,12,0,340,6,1,False
2022-12-07,1,6.49,-2,6.49,12,0,341,7,2,False
2022-12-08,1,6.49,-3,6.49,12,1,342,8,3,False
2022-12-10,1,6.49,-4,6.49,12,1,344,10,5,True
2022-12-13,1,6.49,-1,6.49,12,1,347,13,1,False
2022-12-14,1,6.49,-2,6.49,12,1,348,14,2,False
2022-12-19,1,6.49,-3,6.49,12,2,353,19,0,False
2022-12-20,1,6.49,-2,6.49,12,2,354,20,1,False
2022-12-21,1,6.49,-3,6.49,12,2,355,21,2,False
2022-12-22,1,6.49,-4,6.49,12,3,356,22,3,False
2022-12-23,1,6.49,-5,6.49,12,3,357,23,4,False
2022-12-30,1,6.49,-1,6.49,12,4,364,30,4,False
