Date,Quantity,Price,Quantity_perWeek,Price_Total_perOrder,MonthoftheYear,WeekoftheMonth,DayoftheYear,DayoftheMonth,DayoftheWeek,isWeekend
2023-01-05,1,5.99,-1,5.99,1,0,5,5,3,False
2023-01-07,1,5.99,-2,5.99,1,0,7,7,5,True
2023-01-09,1,5.99,-1,5.99,1,1,9,9,0,False
2023-01-11,1,5.99,-2,5.99,1,1,11,11,2,False
2023-01-12,1,5.99,-3,5.99,1,1,12,12,3,False
2023-01-13,1,5.99,-4,5.99,1,1,13,13,4,False
2023-01-14,1,5.99,-5,5.99,1,1,14,14,5,True
2023-01-17,1,5.99,-6,5.99,1,2,17,17,1,False
2023-01-19,1,5.99,-2,5.99,1,2,19,19,3,False
2023-01-20,1,5.99,-3,5.99,1,2,20,20,4,False
2023-01-21,1,5.99,-4,5.99,1,2,21,21,5,True
2023-01-24,1,5.99,-1,5.99,1,3,24,24,1,False
2023-01-27,1,5.99,-2,5.99,1,3,27,27,4,False
2023-01-28,1,5.99,-3,5.99,1,3,28,28,5,True
2023-01-30,1,5.99,-1,5.99,1,4,30,30,0,False
2023-02-02,1,5.99,-2,5.99,2,0,33,2,3,False
2023-02-03,1,5.99,-3,5.99,2,0,34,3,4,False
2023-02-04,1,5.99,-4,5.99,2,0,35,4,5,True
2022-09-10,1,5.79,-1,5.79,9,1,253,10,5,True
2022-09-13,2,5.79,-2,11.58,9,1,256,13,1,False
2022-09-16,2,5.79,-4,11.58,9,2,259,16,4,False
2022-09-17,2,5.79,-6,11.58,9,2,260,17,5,True
2022-09-20,1,5.79,-1,5.79,9,2,263,20,1,False
2022-09-21,1,5.79,-2,5.79,9,2,264,21,2,False
2022-09-22,1,5.79,-3,5.79,9,3,265,22,3,False
2022-09-23,1,5.79,-4,5.79,9,3,266,23,4,False
2022-09-24,1,5.79,-5,5.79,9,3,267,24,5,True
2022-09-26,1,5.79,-6,5.79,9,3,269,26,0,False
2022-09-27,1,5.79,-2,5.79,9,3,270,27,1,False
2022-09-28,1,5.79,-3,5.79,9,3,271,28,2,False
2022-09-30,3,5.79,-6,17.37,9,4,273,30,4,False
2022-10-01,2,5.79,-8,11.58,10,0,274,1,5,True
2022-10-04,1,5.79,-1,5.79,10,0,277,4,1,False
2022-10-05,1,5.79,-2,5.79,10,0,278,5,2,False
2022-10-06,1,5.79,-3,5.79,10,0,279,6,3,False
2022-10-07,2,5.79,-5,11.58,10,0,280,7,4,False
2022-10-08,2,5.79,-7,11.58,10,1,281,8,5,True
2022-10-13,1,5.79,-1,5.79,10,1,286,13,3,False
2022-10-14,1,5.79,-2,5.79,10,1,287,14,4,False
2022-10-15,1,5.79,-3,5.79,10,2,288,15,5,True
2022-10-18,1,5.79,-1,5.79,10,2,291,18,1,False
2022-10-19,1,5.79,-2,5.79,10,2,292,19,2,False
2022-10-20,2,5.99,-4,11.98,10,2,293,20,3,False
2022-10-21,1,5.99,-5,5.99,10,2,294,21,4,False
2022-10-22,1,5.99,-6,5.99,10,3,295,22,5,True
2022-10-25,1,5.99,-1,5.99,10,3,298,25,1,False
2022-10-26,1,5.99,-2,5.99,10,3,299,26,2,False
2022-10-27,1,5.99,-3,5.99,10,3,300,27,3,False
2022-10-28,1,5.99,-4,5.99,10,3,301,28,4,False
2022-10-29,1,5.99,-5,5.99,10,4,302,29,5,True
2022-11-01,2,5.99,-2,11.98,11,0,305,1,1,False
2022-11-03,1,5.99,-3,5.99,11,0,307,3,3,False
2022-11-05,2,5.99,-5,11.98,11,0,309,5,5,True
2022-11-08,1,5.99,-1,5.99,11,1,312,8,1,False
2022-11-09,1,5.99,-2,5.99,11,1,313,9,2,False
2022-11-10,1,5.99,-3,5.99,11,1,314,10,3,False
2022-11-12,1,5.99,-4,5.99,11,1,316,12,5,True
2022-11-17,1,5.99,-1,5.99,11,2,321,17,3,False
2022-11-19,1,5.99,-2,5.99,11,2,323,19,5,True
2022-11-21,1,5.99,-3,5.99,11,2,325,21,0,False
2022-11-22,1,5.99,-2,5.99,11,3,326,22,1,False
2022-11-23,1,5.99,-3,5.99,11,3,327,23,2,False
2022-11-28,1,5.99,-4,5.99,11,3,332,28,0,False
2022-11-29,1,5.99,-2,5.99,11,4,333,29,1,False
2022-11-30,1,5.99,-3,5.99,11,4,334,30,2,False
2022-12-01,1,5.99,-4,5.99,12,0,335,1,3,False
2022-12-02,1,5.99,-5,5.99,12,0,336,2,4,False
2022-12-05,1,5.99,-6,5.99,12,0,339,5,0,False
2022-12-06,1,5.99,-2,5.99,12,0,340,6,1,False
2022-12-07,1,5.99,-3,5.99,12,0,341,7,2,False
2022-12-09,1,5.99,-4,5.99,12,1,343,9,4,False
2022-12-10,1,5.99,-5,5.99,12,1,344,10,5,True
2022-12-14,1,5.99,-1,5.99,12,1,348,14,2,False
2022-12-15,1,5.99,-2,5.99,12,2,349,15,3,False
2022-12-16,1,5.99,-3,5.99,12,2,350,16,4,False
2022-12-21,1,5.99,-1,5.99,12,2,355,21,2,False
2022-12-23,1,5.99,-2,5.99,12,3,357,23,4,False
2022-12-27,1,5.99,-1,5.99,12,3,361,27,1,False
