Date,Quantity,Price,Quantity_perWeek,Price_Total_perOrder,MonthoftheYear,WeekoftheMonth,DayoftheYear,DayoftheMonth,DayoftheWeek,isWeekend
2023-01-16,1,3.89,-4,3.89,1,2,16,16,0,False
2023-01-23,1,3.89,-4,3.89,1,3,23,23,0,False
2023-01-24,1,3.89,-5,3.89,1,3,24,24,1,False
2023-01-26,1,3.89,-6,3.89,1,3,26,26,3,False
2023-02-01,1,3.89,-4,3.89,2,0,32,1,2,False
2023-02-02,1,3.89,-5,3.89,2,0,33,2,3,False
2022-09-14,1,3.39,-1,3.39,9,1,257,14,2,False
2022-09-15,1,3.39,-2,3.39,9,2,258,15,3,False
2022-09-29,1,3.39,-4,3.39,9,4,272,29,3,False
2022-09-30,1,3.39,-5,3.39,9,4,273,30,4,False
2022-10-01,1,3.39,-6,3.39,10,0,274,1,5,True
2022-10-05,1,3.39,-4,3.39,10,0,278,5,2,False
2022-10-08,1,3.39,-5,3.39,10,1,281,8,5,True
2022-10-10,1,3.39,-6,3.39,10,1,283,10,0,False
2022-10-14,1,3.39,-5,3.39,10,1,287,14,4,False
2022-10-22,1,3.89,-4,3.89,10,3,295,22,5,True
2022-10-25,1,3.89,-4,3.89,10,3,298,25,1,False
2022-10-28,1,3.89,-5,3.89,10,3,301,28,4,False
2022-10-29,1,3.89,-6,3.89,10,4,302,29,5,True
2022-11-03,1,3.89,-4,3.89,11,0,307,3,3,False
2022-11-05,1,3.89,-5,3.89,11,0,309,5,5,True
2022-11-07,1,3.89,-6,3.89,11,0,311,7,0,False
2022-11-08,1,3.89,-5,3.89,11,1,312,8,1,False
2022-11-09,1,3.89,-6,3.89,11,1,313,9,2,False
2022-11-10,1,3.89,-7,3.89,11,1,314,10,3,False
2022-11-12,1,3.89,-8,3.89,11,1,316,12,5,True
2022-11-14,1,3.89,-9,3.89,11,1,318,14,0,False
2022-11-16,1,3.89,-5,3.89,11,2,320,16,2,False
2022-11-22,1,3.89,-4,3.89,11,3,326,22,1,False
2022-11-23,1,3.89,-5,3.89,11,3,327,23,2,False
2022-11-26,1,3.89,-6,3.89,11,3,330,26,5,True
2022-11-28,1,3.89,-7,3.89,11,3,332,28,0,False
2022-11-30,1,3.89,-5,3.89,11,4,334,30,2,False
2022-12-01,1,3.89,-6,3.89,12,0,335,1,3,False
2022-12-05,1,3.89,-7,3.89,12,0,339,5,0,False
2022-12-07,1,3.89,-5,3.89,12,0,341,7,2,False
2022-12-08,1,3.89,-6,3.89,12,1,342,8,3,False
2022-12-13,1,3.89,-4,3.89,12,1,347,13,1,False
2022-12-19,1,3.89,-5,3.89,12,2,353,19,0,False
2022-12-20,1,3.89,-5,3.89,12,2,354,20,1,False
2022-12-27,1,3.89,-4,3.89,12,3,361,27,1,False
